"SARS","Initial symptoms are flu-like and may include fever, myalgia, lethargy symptoms, cough, sore throat, and other nonspecific symptoms. The only symptom common to all patients appears to be a fever above 38 °C (100 °F). Shortness of breath may occur later. The patient has symptoms as with a cold in the first stage, but later on they resemble influenza."
"Cryptococcosis","Dependent on the infectious syndrome, symptoms include fever, fatigue, chest pain, dry cough, swelling of abdomen, headache, blurred vision and confusion. Symptom onset is often subacute, progressively worsened over several weeks.Detection of cryptococcal antigen (capsular material) by culture of CSF, sputum and urine provides definitive diagnosis. Blood cultures may be positive in heavy infections. India ink of the CSF is a traditional microscopic method of diagnosis, although the sensitivity is poor in early infection, and may miss up to >=20% of patients with culture-positive cryptococcal meningitis. Unusual morphological forms are rarely seen. Cryptococcal antigen from cerebrospinal fluid is the best test for diagnosis of cryptococcal meningitis in terms of sensitivity. Apart from conventional methods of detection like direct microscopy and culture, rapid diagnostic methods to detect cryptococcal antigen by latex agglutination test, lateral flow immunochromatographic assay (LFA), or enzyme immunoassay (EIA). A new cryptococcal antigen LFA was FDA approved in July 2011. Polymerase chain reaction (PCR) has been used on tissue specimens.Cryptococcosis can rarely occur in the non-immunosuppressed people, particularly with Cryptococcus gattii.









































"
"Clostridial myonecrosis","Gas gangrene can cause myonecrosis (muscle tissue death), gas production, and sepsis. Progression to toxemia and shock is often very rapid."
"Whipple's Disease","The most common symptoms are diarrhea, abdominal pain, weight loss, and joint pains. Sometimes, the joint pains occur many years before any digestive tract symptoms develop; they tend to involve the large joints but can occur in any pattern and tend not to damage the joint surface to the point that the joint becomes deformed. Fever and chills occur in a small proportion of people.In its more advanced form, malabsorption (insufficient absorption of nutrients from the diet) leads to wasting and the enlargement of lymph nodes in the abdomen. Neurological symptoms (discussed below) are more common in those with severe abdominal disease. The poor absorption of fat means that many develop steatorrhea (fatty, offensive stool). Depletion of albumin, a blood protein, causes peripheral edema.Darkening of the skin occurs in almost half; some also have skin nodules. Various eye problems, such as uveitis, may occur; this is typically associated with deteriorating vision and pain in the affected eye. Endocarditis (infection of the heart valve) has been reported in a small number of cases, sometimes in people with no other symptoms of Whipple's disease; this is typically noticed as breathlessness and leg swelling due to fluid accumulation as the heart is unable to pump fluid through the body.10–40% of people with Whipple's disease have problems related to involvement of the brain; the symptoms relate to the part of the brain that is affected. The most common problems are dementia, memory loss, confusion, and decreased level of consciousness. Eye movement disturbances and myorhythmia (rapidly repetitive movements of the muscles) of the face, together referred to as oculomasticatory myorhythmia, are highly characteristic for Whipple's disease. Weakness and poor coordination of part of the body, headaches, seizures, as well as a number of more uncommon neurological features, are present in some cases."
"Human Herpesvirus 6 infection","The classical presentation of primary HHV-6b infection is as exanthema subitum (ES) or  roseola , featuring a high temperature followed by a rash. However a recent study showed that a rash is not a distinguishing feature of HHV-6 infections, with rates similar to non-HHV-6 infections - 10-20% of febrile children in both groups, in one US study. This study recorded HHV-6 infection rates among children attending the hospital with a fever and found that 15% had HHV-6. HHV-6 infections more frequently presented with high temperatures (over 40C), at a rate of around two thirds compared to less than half in the non-HHV-6 patients. Similarly significant differences were seen in malaise and irritability, and in tympanic membrane inflammation.Most infections occur at an early age. A study conducted in Japan found that, by 13 months of age, almost all children acquire a primary HHV-6 infection.Primary infection in adults tend to be more severe."
"Israeli spotted Fever","na"
"Kawasaki Disease","Kawasaki disease, also known as Kawasaki syndrome, lymph node syndrome and mucocutaneous lymph node syndrome, is an autoimmune disease in which the medium-sized blood vessels throughout the body become inflamed. It is largely seen in children under five years of age. It affects many organ systems, mainly those including the blood vessels, skin, mucous membranes, and lymph nodes; however its rare but most serious effect is on the heart where it can cause fatal coronary artery aneurysms in untreated children. Without treatment, mortality may approach 1%, usually within six weeks of onset. With treatment, the mortality rate is 0.17% in the U.S. There is often a pre-existing viral infection that may play a role in its pathogenesis. The conjunctivae and oral mucosa, along with the skin, become red and inflamed. Edema is often seen in the hands and feet. One or more cervical lymph nodes are often enlarged. Also, a recurrent fever, often 37.78 °C (100.00 °F) or higher, is characteristic of the acute phase of the disease. In untreated children, the febrile period lasts on average approximately 10 days, but may range from five to 25 days. The disorder was first described in 1967 by Tomisaku Kawasaki in Japan.Systemic vasculitis is an inflammatory condition affecting both veins and arteries throughout the body, and is usually caused by a proliferation of cells associated with an immune response to a pathogen, or autoimmunity. Systemic vasculitides may be classified according to the type of cells involved in the proliferation, as well as the specific type of tissue damage occurring within the vein or arterial walls. Under this classification scheme for systemic vasculitis, Kawasaki disease is considered to be a necrotizing vasculitis (also called necrotizing angeititis), which may be identified histologically by the occurrence of necrosis (tissue death), fibrosis, and proliferation of cells associated with inflammation in the inner layer of the vascular wall. Other diseases featuring necrotizing vasculitis include Polyarteritis nodosa, Wegener's granulomatosis, Henoch-Schönlein purpura, and Churg-Strauss syndrome. Kawasaki disease may be further classified as a medium-sized-vessel vasculitis, affecting medium and small sized blood vessels, such as the smaller cutaneous vasculature (veins and arteries in the skin) that range from 50 to 100 µm in diameter. Kawasaki disease is also considered to be a primary childhood vasculitis, a disorder associated with vasculitis that mainly affects children under the age of 18. A recent, consensus-based evaluation of vasculitides occurring primarily in children resulted in a classification scheme for these disorders, to both distinguish them and suggest a more concrete set of diagnostic criteria for each. Within this classification of childhood vasculitides, Kawasaki disease is, again, a predominantly medium-sized vessel vasculitis.It is also an autoimmune form of vasculitis, and is not associated with ANCA antibodies, unlike other vasculitic disorders associated with them, such as wegener's granulomatosis, microscopic polyangiitis, and Churg-Strauss syndrome. This categorization is considered essential for appropriate treatment.Kawasaki disease often begins with a high and persistent fever that is not very responsive to normal treatment with paracetamol (acetaminophen) or ibuprofen. It is the most prominent symptom in Kawasaki disease, is a characteristic sign of the acute phase of the disease, is normally high (above 39-40°C), remittent and followed by extreme irritability. Recent reports says it is even present in patients with atypical or incomplete Kawasaki disease, nevertheless recent reports says it is not present on 100% of cases. The first day of fever is considered the first day of illness, and the duration of fever is on average one to two weeks; in the absence of treatment, it may extend for three to four weeks, Prolonged fever is associated with higher incidence of cardiac involvement. It responds partially to antipyretic drugs and does not cease with the introduction of antibiotics. However, when appropriate therapy is started – intravenous immunoglobulin (IVIG) and aspirin – the fever is gone after two days.Bilateral conjunctival injection was reported by many publications to be the most common symptom after fever. It typically involves the bulbar conjunctivae, is not accompanied by suppuration, and is not painful. It usually begins shortly after the onset of fever during the acute stage of the disease.Anterior uveitis may be present on slit-lamp examination.Iritis can occur too.Keratic precipitates is another eye manifestation (detectable by a slit lamp but usually too small to be seen by the unaided eye.Kawasaki disease presents with set of oral manifestations, the most characteristic changes are the bright red (erythema), swollen lips (edema) with vertical cracking (fissures) and bleeding. The mucosa of the oropharynx may be bright red, and the tongue may have a typical  strawberry tongue  appearance (marked erythema with prominent gustative papillae). These oral manifestations are caused by the typical necrotizing microvasculitis with fibrinoid necrosis.Cervical lymphadenopathy is seen in approximately 50 to 75% of patients, whereas the other features are estimated to occur in 90% of patients. But sometimes it can be the dominant presenting symptom. According to the definition of the diagnostic criteria, there should be more than one impaired lymph node and > 1.5 cm in diameter. Affected lymph nodes are not painful or little painful, not-fluctuating and non-suppurative; erythema of the neighboring skin may occur. We should be attentive to those children with fever and neck adenitis who do not respond to antibiotics, because Kawasaki disease should be part of the differential diagnoses.In the acute phase of the disease changes in the peripheral extremities can include erythema of the palms and soles, which is often striking with sharp demarcation, and often accompanied by painful, brawny edema of the dorsa of the hands or feet in the acute phase of the disease, and it is why affected children frequently refuse to hold objects in their hands or to bear weight on their feet. Later during the convalescent or the subacute phase desquamation of the fingers and toes usually begins in the periungual region within two to three weeks after the onset of fever and may extend to include the palms and soles, and around 11% of children affected by the disease may continue skin peeling for many years. 1 to 2 months after the onset of fever deep transverse grooves across the nails may develop (Beau’s lines), and occasionally nail are shed.The most common cutaneous manifestation is a diffuse macular-papular erythematous rash, which is quite nonspecific. The rash varies over time and is characteristically located on the trunk and may further spread to involve the face, extremities, and perineum. Many other forms of cutaneous lesions have been reported also; they may include Scarlatiniform, popular, urticariform, multiform-like erythema, and purpuric lesions, even micropustules were reported. It can be polymorphic, non-itchy and normally observed up to the fifth day of fever. However, it is never bullous or vesicular.The syndrome affects multiple organ systems, and in the acute stage of Kawasaki disease, systemic inflammatory changes are evident in many organs. Joint pain (arthralgia) and swelling, frequently symmetrical, and also arthritis can occur.Myocarditis,diarrhea,pericarditis, valvulitis, aseptic meningitis, pneumonitis, lymphadenitis, and hepatitis may be present and are manifested by the presence of inflammatory cells in the affected tissues. If left untreated, some symptoms will eventually relent, but coronary artery aneurysms will not improve, resulting in a significant risk of death or disability due to myocardial infarction (heart attack). If treated in a timely fashion, this risk can be mostly avoided and the course of illness cut short.Other reported non-specific symptoms include cough, rhinorrhea, sputum, vomiting, headache, and seizure.The course of the disease can be divided into three clinical phases. The acute febrile phase, which usually lasts for 1 to 2 weeks, is characterized by fever, conjunctival injection, erythema of the oral mucosa, erythema and swelling of the hands and feet, rash, cervical adenopathy, aseptic meningitis, diarrhea, and hepatic dysfunction. Myocarditis is common during this time, and a pericardial effusion may be present.Coronary arteritis may be present, but aneurysms are generally not yet visible by echocardiography. The subacute phase begins when fever, rash, and lymphadenopathy resolve at about 1 to 2 weeks after the onset of fever, but irritability, anorexia, and conjunctival injection persist. Desquamation of the fingers and toes and thrombocytosis are seen during this stage, which generally lasts until about 4 weeks after the onset of fever. Coronary artery aneurysms usually develop during this time, and the risk for sudden death is highest during this stage. The convalescent stage begins when all clinical signs of illness have disappeared and continues until the sedimentation rate returns to normal, usually at 6 to 8 weeks after the onset of illness.There is differences in clinical presentation between adults and children, as adults have more affection of neck lymph nodes (93% of adults versus 15% of children); hepatitis (65% versus 10%), and arthralgia (61% versus 24-38%). Some patients have atypical presentations and may not have the classical symptoms and this occurs in particular in young infants, and those patients are especially at higher risk for cardiac artery aneurysms.The cardiac complications are the most important aspect of the disease. It is the main cause of heart disease acquired in childhood in the United States of America and in Japan. In the United States and other developed nations, it appears to have replaced acute rheumatic fever as the most common cause of acquired heart disease in children.Coronary artery aneurysms occur as a sequela of the vasculitis in 20-25% of untreated children. It is first detected at a mean of 10 days of illness and that the peak frequency of coronary dilatation or aneurysms occurs within 4 weeks of onset. Aneurysms are classified into small (internal diameter of vessel wall <5mm), medium (diameter ranging from 5-8mm), and giant (diameter > 8mm). Saccular and fusiform aneurysms usually develop between 18 and 25 days after the onset of illness. Even when treated with high-dose IVIG regimens within the first ten days of illness, 5% of children with Kawasaki disease develop at the least transient coronary artery dilation and 1% develop giant aneurysms. Death can occur due either to myocardial infarction secondary to thrombosis of a coronary artery aneurysm or to rupture of a large coronary artery aneurysm. Death is most common 2 to 12 weeks after the onset of illness.Many risk factors predicting coronary artery aneurysms have been identified. include persistent fever after IVIG therapy, low hemoglobin concentrations, low albumin concentrations, high white-blood-cell count, high band count, high CRP concentrations, male sex, and age less than one year.Coronary artery lesions resulting from Kawasaki disease change dynamically with time. Resolution one to two years after the onset of the disease has been observed in half of vessels with coronary aneurysms.Stenosis, which occurs as a result of the healing process of the vessel wall, often leads to significant coronary obstruction and myocardial ischemia. and eventually can lead to Myocardial infarction.Myocardial infarction caused by thrombotic occlusion in an aneurysmal, stenotic, or both aneurysmal and stenotic coronary artery is the principal cause of death from Kawasaki disease. The highest risk of myocardial infarction occurs in the first year after the onset of the disease. Myocardial infarction in children presents with different symptoms from that in adults. The main symptoms were shock, unrest, vomiting, and abdominal pain; chest pain was most common in older children. Most of these children had the attack occurring during sleep or at rest, and around one third of attacks were asymptomatic.Valvular insufficiencies, particularly of mitral or tricuspid valves, are often observed in the acute phase of Kawasaki disease due to valvulitis or myocarditis-induced myocardial dysfunction, regardless of coronary involvement. These lesions mostly disappear with the resolution of acute illness, but a very small group of the lesions persist and progress. There is also late-onset aortic or mitral insufficiency caused by thickening or deformation of fibrosed valves, with the timing ranging from several months to years after the onset of Kawasaki disease. Some of these lesions require valve replacement.Other Kawasaki disease complications have been described, such as aneurysm of other arteries: aortic aneurysm, with a higher number of reported cases involving the abdominal aorta,axillary artery aneurysm,brachiocephalic artery aneurysm, aneurysm of iliac and femoral arteries, and renal artery aneurysm. Other vascular complications can occur such as increased wall thickness and decreased distensibility of carotid arteries,aorta, and brachioradial artery. This change in the vascular tone secondary to endothelial dysfunction. In addition, children with Kawasaki disease, with or without coronary artery complications, may have a more adverse cardiovascular risk profile, such as high blood pressure, obesity, and abnormal serum lipid profile.Gastrointestinal complications in Kawasaki disease are similar to those observed in Henoch-Schönlein purpura, such as: intestinal obstruction,colon swelling,intestinal ischemia,intestinal pseudo-obstruction, and acute abdomen.Ophthalmologic changes associated with the disease have been described since the 1980s, being found as uveitis, iridocyclitis, conjunctival hemorrhage,optic neuritis,amaurosis and ocular artery obstruction. It can also be found as necrotizing vasculitis, progressing into peripheral gangrene.The neurological complications per central nervous system (CNS) lesion are increasingly reported. The neurological complications found are meningoencephalitis,subdural effusion,cerebral hypoperfusion,cerebral ischemia and infarct,cerebelar infarction, manifesting with seizures, chorea, hemiplegia, mental confusion, lethargy and coma, or even a cerebral infarction with no neurological manifestations. Other neurological complications from cranial nerve involvement are reported as ataxia,facial palsy, and sensorineural auditory loss.Behavioral changes, are thought to be caused by localised cerebral hypoperfusion, can include attention deficits, learning deficits, emotional disorders (emotional lability, fear of night and night terrors) and internalization problems (anxious, depressive or aggressive behavior).As the cause(s) of Kawasaki disease remain unknown, the illness is more accurately referred to as Kawasaki syndrome. Like all autoimmune diseases, the cause of Kawasaki disease is presumably the interaction of genetic and environmental factors, possibly including an infection. The specific cause is unknown, but current theories center primarily on immunological causes for the disease. Evidence increasingly points to an infectious etiology, but debate continues on whether the cause is a conventional antigenic substance or a superantigen.Boston Children's Hospital reported that  some studies have found associations between the occurrence of Kawasaki disease and recent exposure to carpet cleaning or residence near a body of stagnant water; however, cause and effect have not been established. Other data show a clear correlation between Kawasaki disease and tropospheric wind patterns; winds blowing from central Asia correlate with Kawasaki disease cases in Japan, Hawaii and San Diego. This association with tropospheric winds has been shown to be modulated at seasonal and interannual timescales by the El Niño–Southern Oscillation phenomenon, further indicating that the agent responsible for the disease is a wind-borne pathogen. Efforts are under way to identify the suspected pathogen in air-filters flown at altitude above Japan.An association has been identified with a SNP in the ITPKC gene, which codes an enzyme that negatively regulates T-cell activation. An additional factor that suggests genetic susceptibility is the fact that regardless of where they are living, Japanese children are more likely than other children to contract the disease. The HLA-B51 serotype has been found to be associated with endemic instances of the disease.Kawasaki disease can only be diagnosed clinically (i.e. by medical signs and symptoms). There exists no specific laboratory test for this condition. It is difficult to establish the diagnosis, especially early in the course of the illness, and frequently children are not diagnosed until they have seen several health care providers. Many other serious illnesses can cause similar symptoms, and must be considered in the differential diagnosis, including scarlet fever, toxic shock syndrome, juvenile idiopathic arthritis, and childhood mercury poisoning (infantile acrodynia).Classically, five days of fever plus four of five diagnostic criteria must be met in order to establish the diagnosis. The criteria are: (1) erythema of the lips or oral cavity or cracking of the lips; (2) rash on the trunk; (3) swelling or erythema of the hands or feet; (4) red eyes (conjunctival injection) (5) swollen lymph node in the neck of at least 15 millimeters.Many children, especially infants, eventually diagnosed with Kawasaki disease do not exhibit all of the above criteria. In fact, many experts now recommend treating for Kawasaki disease even if only three days of fever have passed and at least three diagnostic criteria are present, especially if other tests reveal abnormalities consistent with Kawasaki disease. In addition, the diagnosis can be made purely by the detection of coronary artery aneurysms in the proper clinical setting.A physical examination will demonstrate many of the features listed above.Blood testsOther optional testsChildren with Kawasaki disease should be hospitalized and cared for by a physician who has experience with this disease. When in an academic medical center, care is often shared between pediatric cardiology, pediatric rheumatology and pediatric infectious disease specialists (although no specific infectious agent has been identified as yet). It is imperative that treatment be started as soon as the diagnosis is made to prevent damage to the coronary arteries.Intravenous immunoglobulin (IVIG) is the standard treatment for Kawasaki disease and is administered in high doses with marked improvement usually noted within 24 hours. If the fever does not respond, an additional dose may have to be considered. In rare cases, a third dose may be given to the child. IVIG by itself is most useful within the first seven days of onset of fever, in terms of preventing coronary artery aneurysm.Salicylate therapy, particularly aspirin, remains an important part of the treatment (though questioned by some) but salicylates alone are not as effective as IVIG. Aspirin therapy is started at high doses until the fever subsides, and then is continued at a low dose when the patient returns home, usually for two months to prevent blood clots from forming. Except for Kawasaki disease and a few other indications, aspirin is otherwise normally not recommended for children due to its association with Reye's syndrome. Because children with Kawasaki disease will be taking aspirin for up to several months, vaccination against varicella and influenza is required, as these infections are most likely to cause Reye's syndrome.Corticosteroids have also been used, especially when other treatments fail or symptoms recur, but in a randomized controlled trial, the addition of corticosteroid to immune globulin and aspirin did not improve outcome. Additionally, corticosteroid use in the setting of Kawasaki disease is associated with increased risk of coronary artery aneurysm, and so its use is generally contraindicated in this setting. In cases of Kawasaki disease refractory to IVIG, cyclophosphamide and plasma exchange have been investigated as possible treatments, with variable outcomes.There are also treatments for iritis and other eye symptoms. Another treatment may include the use of Infliximab (Remicade). Infliximab works by binding tumour necrosis factor alpha.With early treatment, rapid recovery from the acute symptoms can be expected and the risk of coronary artery aneurysms greatly reduced. Untreated, the acute symptoms of Kawasaki disease are self-limited (i.e. the patient will recover eventually), but the risk of coronary artery involvement is much greater. Overall, about 2% of patients die from complications of coronary vasculitis. Patients who have had Kawasaki disease should have an echocardiogram initially every few weeks, and then every one or two years to screen for progression of cardiac involvement.Laboratory evidence of increased inflammation combined with demographic features (male sex, age less than six months or greater than eight years) and incomplete response to IVIG therapy create a profile of a high-risk patient with Kawasaki disease. The likelihood that an aneurysm will resolve appears to be determined in large measure by the initial size of the aneurysm, in which the smaller aneurysms have a greater likelihood of regression. Other factors that are positively associated with the regression of aneurysms include being younger than a year old at the onset of Kawasaki disease, fusiform rather than saccular aneurysm morphology, and an aneurysm location in a distal coronary segment. The highest rate of progression to stenosis occurs among those who develop large aneurysms. The worst prognosis occurs in children with giant aneurysms. This severe outcome may require further treatment such as percutaneous transluminal angioplasty,coronary artery stenting,bypass grafting, and even cardiac transplantation.It is also not uncommon that a relapse of symptoms may occur soon after initial treatment with IVIG. This usually requires re-hospitalization and re-treatment. Treatment with IVIG can cause allergic and non-allergic acute reactions, aseptic meningitis, fluid overload and, rarely, other serious reactions. Overall, life-threatening complications resulting from therapy for Kawasaki disease are exceedingly rare, especially compared with the risk of non-treatment. There is also evidence that Kawasaki disease produces altered lipid metabolism that persists beyond clinical resolution of the disease.Kawasaki disease affects boys more than girls with people of Asian ethnicity, particularly Japanese and Korean people are most susceptible as well as people of Afro-Caribbean ethnicity. The disease was rare in Caucasians until the last few decades and incidence rate fluctuates from country to country.Currently, Kawasaki disease is the most commonly diagnosed pediatric vasculitis in the world. By far the highest incidence of Kawasaki disease occurs in Japan, with the most recent study placing the attack rate at 218.6 per 100,000 children <5 years of age (~1 in 450 children). At this present attack rate, more than 1 in 150 children in Japan will develop Kawasaki disease during their lifetime.However, its incidence in the United States is increasing. Kawasaki disease is predominantly a disease of young children, with 80% of patients younger than five years of age. Approximately 2,000-4,000 cases are identified in the United States each year.In the United Kingdom, estimates of incidence rate vary because of the rarity of Kawasaki disease. However, Kawasaki disease is believed to affect fewer than 1 in every 25,000 people. Incidence of the disease doubled from 1991 to 2000 however, with 4 cases in per 100,000 children in 1991 compared with a rise of 8 cases per 100,000 in 2000.The disease was first reported by Tomisaku Kawasaki in a four-year-old child with a rash and fever at the Red Cross Hospital in Tokyo, Japan in January 1961, and later published a report on 50 similar cases. Later Kawasaki and colleagues were persuaded that there is definite cardiac involvement when they studied and reported 23 cases, of which 11(48%) patients had abnormalities detected by an electrocardiogram. It was not until 1974 that the first description of this disorder was published in the English language literature. in the year 1976 Melish et al., described the same illness in 16 children in Hawaii. Melish and Kawasaki had independently developed the same diagnostic criteria for the disorder, which are still used today to make the diagnosis of classic Kawasaki disease.A question was raised whether the disease only started during the period between 1960 and 1970, but later a preserved heart of a 7 year old boy who died in 1870 was examined and showed three aneurysms of the coronary arteries with clots, as well as pathologic changes consistent with Kawasaki disease. Kawasaki disease is now recognized worldwide. In the United States and other developed nations, it appears to have replaced acute rheumatic fever as the most common cause of acquired heart disease in children."
"Fungal Infection-invasive","na"
"Septicemia-bacterial","In addition to symptoms related to the provoking infection, sepsis is frequently associated with either fever or hypothermia, rapid breathing, elevated heart rate, confusion, and edema. Early signs are elevated heart rate, decreased urination, and elevated blood sugar, while signs of established sepsis are confusion, metabolic acidosis with compensatory respiratory alkalosis (which can manifest as faster breathing), low blood pressure, decreased systemic vascular resistance, higher cardiac output, and dysfunctions of blood coagulation.Sepsis may also lead to a drop in blood pressure, resulting in shock. This may result in light-headedness. Bruising or intense bleeding may also occur."
"Parainfluenza Virus Infection","In the USA it is estimated that there are 5 million children with lower respiratory infections (LRI) each year. Estimates have shown that hPIV-1, hPIV-2 and hPIV-3 have been linked with up to a third of these infections.Upper respiratory infections (URI) are also important in the context of hPIV, however are caused to a lesser extent by the virus. The highest rates of serious HPIV illnesses occur among young children and surveys have shown that about 75% of children aged 5 or older have antibodies to HPIV-1.For infants and young children it has been estimated that ~25% will develop 'clinically significant disease.'Repeated infection throughout the life of the host is not uncommon and symptoms of later breakouts include upper respiratory tract illness, such as cold and a sore throat. The incubation period for all four serotypes is 1 to 7 days. In immunosuppressed people, parainfluenza virus infections can cause severe pneumonia which can be fatal.hPIV-1 and hPIV-2 have been demonstrated to be the principal causative agent behind croup (laryngotracheobronchitis) which is a viral disease of the upper airway and is mainly problematic in children aged 6–48 months of age. Biennial epidemics starting in Autumn are associated with both hPIV-1 and 2 however, hPIV-2 can also have yearly outbreaks. Additionally, HPIV-1 tends to cause biennial outbreaks of croup in the fall. In the United States, large peaks have presently been occurring during odd-numbered years.hPIV-3 has been closely associated with bronchiolitis and pneumonia and principally targets those aged <1 year.hPIV-4 remains infrequently detected. However, it is now believed to be more common than previously thought, but is less likely to cause severe disease. By the age of 10, the majority of children are sero-positive for hPIV-4 infection which may be indicative of a large proportion of asymptomatic or mild infections.Important epidemiological factors that are associated with a higher risk of infection and mortality are those who are immuno-compromised and may be taken ill with more extreme forms of LRI. Associations between hPIV and neurologic disease are known, for example hospitalisation with certain types of hPIV has a strong association with febrile seizures. hPIV-4B has the strongest association (up to 62%) followed by hPIV-3 and 1.hPIV has also been linked with rare cases of virally caused meningitis and Guillain-Barré syndrome.HPIVs are spread person to person by contact with infected secretions through respiratory droplets or contaminated surfaces or objects. Infection can occur when infectious material contacts mucous membranes of the eyes, mouth, or nose, and possibly through the inhalation of droplets generated by a sneeze or cough. HPIVs can remain infectious in airborne droplets for over an hour.Overall, hPIV remains best known for its effects on the respiratory system and this appears to be where the majority of the focus has been upon.The inflammation of the airway is a common attribute of hPIV infection. It is believed to occur due to the large scale up-regulation of inflammatory cytokines. Common cytokines which would be expected to be up-regulated include IFN–α, various other interleukins (IL–2, IL-6) and TNF–α. Various other chemokines and inflammatory proteins are also believed to be associated with the common symptoms of hPIV infection.Recent evidence seems to suggest that viral specific antibodies (IgE) may be responsible for mediating large scale releases of histamine in the trachea which are believed to cause croup. More detail on the pathways and interactions can be found here.The bodies primary defence against hPIV infection remains humoral immunity. This is mainly directed against surface proteins which can be found on the virus. In particular the proteins HN and F prove to be most immunogenic in terms of stimulating the immune system.Recently the importance of the 'cell mediated immune system' has been scrutinised. Reports have shown that those with defective adaptive immune responses are at a higher risk of severe infection."
"Clonorchiasis","Clonorchiasis is an infectious disease caused by the Chinese liver fluke, Clonorchis sinensis. Clonorchiasis is a known risk factor for the development of cholangiocarcinoma, a neoplasm of the biliary system.Symptoms of opisthorchiasis caused by Opisthorchis viverrini and by Opisthorchis felineus are indistinguishable from clonorchiasis caused by Clonorchis sinensis, so the disease by these three parasites should be referred as clonorchiasis.Clonorchiasis sinensis is a trematode (fluke) which is part of the phylum Platyhelminthes. It is a hermaphroditic fluke that requires two intermediate hosts. The parasitic worm is as long as 10 to 25mm and lives in the bile ducts of the liver. The eggs of the worms are passed through fecal matter which are then ingested by mollusks. One becomes infected by eating undercooked, smoked, pickled salted freshwater fish. Freshwater fish are a second intermediate host for the parasitic worm. They become infected when the larvae (cercaria) of the worm penetrates the flesh of the fish. The water snail is the first intermediate host in which a miracidium (an embryonated egg discharged in stool) goes through its developmental stages of (sporocyst, rediae and cercariae). Clonorchiasis is endemic in the Far East, especially in Korea, Japan, Taiwan, and Southern China. Clonorchiasis has been reported in non endemic areas (including the United States). In such cases, the infection follows the ingestion of imported, undercooked or pickled freshwater fish containing metacercariae."
