name,repoURL,sourceURL,wgetURL,have,source,newCategories,categories,scope,eTag,lastModifiedDateInSource,geoResolution,startDate,endDate,timeResolution,rasterized,fileType,fileSize,internalLocation,ckanURL,notes
California IBA Boundary,,http://ca.audubon.org/california-important-bird-areas-gis-data-and-methods,"http://ca.audubon.org/sites/default/files/documents/auduboncalifornia_gtr_iba_200812.pdf ,
http://ca.audubon.org/sites/default/files/documents/ibageodata2014mar.gdb_.zip ,
http://ca.audubon.org/sites/default/files/documents/iba2014mar.zip ,
http://ca.audubon.org/sites/default/files/documents/iba_attributes_2014mar.xlsx",no,Audubon,"Climate and Weather , Changing Ecosystems","Biodiversity , Land Use / Land Cover",CA,,"Wed 04 Apr 2012 18:16:59 GMT,Tue 04 Mar 2014 00:38:16 GMT,Tue 04 Mar 2014 00:36:18 GMT,Tue 04 Mar 2014 00:32:16 GMT",,,,,no,"pdf,zip,zip,xls",,,,
Capture Production - Fishstat,http://iea.uoregon.edu/page.php?query=one_indicator,,http://iea.uoregon.edu/indicators/Fish.CaptureProduction.Fishstat.Data.zip,yes,FISHSTAT - FAO,"Changing Ecosystems , International Travel and Commerce","Biodiversity , Food Security, Scenarios / GCM",Global,10c92f3-1c53cf-4451c8c94b74e,Fri 01 Feb 2008 18:00:26 GMT,,,,,,zip,1.7704610825,,,
Carbon dioxide emissions (total and per capita),http://iea.uoregon.edu/page.php?query=one_indicator,,http://iea.uoregon.edu/indicators/CO2Emissions.Global.UNSTAT.xls,no,United Nations Statistics Division,"Climate and Weather , Changing Ecosystems","Biodiversity , Scenarios / GCM",Global,b472fc-0-4451d7449544b,Fri 01 Feb 2008 19:05:14 GMT,,,,,,xls,,,,
Carbon sequestration potential ( changes due to climate change ),http://www.ifu.ethz.ch/ESD/downloads,http://www.ifu.ethz.ch/ESD/downloads/EI99plus,http://www.ifu.ethz.ch/ESD/downloads/EI99plus/LU_CSP_EI99.kmz,yes,"Ecological Systems Design, ETH Zurich",Climate and Weather,"Water Scarcity , Scenarios / GCM",Global,,Thu 20 Oct 2011 06:33:32 GMT,,,,,,kmz,2.0184850693,,,
Central Bank Data,,http://www.tau.ac.il/~alexcuk/link.html,"http://www.tau.ac.il/~alexcuk/pdf/CBI%20data%20underlying%20CWN%20and%20CB%20book.xls ,
http://www.tau.ac.il/~alexcuk/pdf/WebbPoltime2.xls ,
http://www.tau.ac.il/~alexcuk/pdf/WebbCw-cbdat.doc",yes,"Cukierman/Webb/Neyapti, 1992 WBER, 1995 WBER",Economy,Economy,Global,"87875e-1f600-d98ddd00,1657376-6e200-da48d380,1657377-7c00-da48d380","Sun 30 Oct 2011 13:10:44 GMT,Wed 28 Feb 2007 11:41:18 GMT,Wed 28 Feb 2007 11:41:18 GMT",,,,,,"xls,xls,doc",0.5830078125,,,
"Change in Chlorophyll-a concentration, v1 ( 1998 - 2007 )",http://sedac.ciesin.columbia.edu/data/sets/browse,sedac.ciesin.columbia.edu/data/set/icwq-change-in-chlorophyll-a-concentration-1998-2007/data-download,"http://www.ciesin.columbia.edu/repository/seawifs/data/timeseries_global.zip ,
http://www.ciesin.columbia.edu/repository/seawifs/data/alaska_argentina.zip ,
http://sedac.ciesin.columbia.edu/repository/seawifs/data/australia_cameroon.zip ,
http://www.ciesin.columbia.edu/repository/seawifs/data/canada_cyprus.zip ,
http://www.ciesin.columbia.edu/repository/seawifs/data/denmark_india.zip ,
http://www.ciesin.columbia.edu/repository/seawifs/data/indonesia_mayotte.zip ,
http://www.ciesin.columbia.edu/repository/seawifs/data/mexico_poland.zip ,
http://www.ciesin.columbia.edu/repository/seawifs/data/portugal_somalia.zip ,
http://www.ciesin.columbia.edu/repository/seawifs/data/southafrica_yemen.zip",yes,"SEDAC, Columbia University",Climate and Weather,Water Quality,Global,"16c21f-462d4a7-4818bd7c08bc0,16c1e5-212706-4818bbf9cbc80,16c1ed-23ad68-4818c81fba5c0,16c1f4-3301f2-4818bcc7ca280,16c201-28dc0f-4818bce3723c0,16c202-450841-4818bcf779300,16c205-3f40cd-4818bd06bb700,16c210-2dc3f1-4818bd1e92f40,16c21e-31e8b5-4818bd44b8940","Thu 11 Mar 2010 19:58:47 GMT,Thu 11 Mar 2010 19:52:02 GMT,Thu 11 Mar 2010 20:46:23 GMT,Thu 11 Mar 2010 19:55:38 GMT,Thu 11 Mar 2010 19:56:07 GMT,Thu 11 Mar 2010 19:56:28 GMT,Thu 11 Mar 2010 19:56:44 GMT,Thu 11 Mar 2010 19:57:09 GMT,Thu 11 Mar 2010 19:57:49 GMT",,,,,,"zip,zip,zip,zip,zip,zip,zip,zip,zip",94.4679660797,,,
Cholera : Implicated case fatality rate by country,,http://apps.who.int/gho/data/node.main.177?lang=en,http://apps.who.int/gho/athena/data/data-verbose.csv?target=GHO/CHOLERA_0000000003&profile=verbose&filter=COUNTRY:*;REGION:AFR;REGION:AMR;REGION:SEAR;REGION:EUR;REGION:EMR;REGION:WPR,no,WHO,EIDS,EIDS,Global,,,,,,,,,,,,
Cholera : Number of reported deaths,,http://apps.who.int/gho/data/node.main.176?lang=en,http://apps.who.int/gho/athena/data/data-verbose.csv?target=GHO/CHOLERA_0000000002&profile=verbose&filter=COUNTRY:*;REGION:AFR;REGION:AMR;REGION:SEAR;REGION:EUR;REGION:EMR;REGION:WPR,no,WHO,EIDS,EIDS,Global,,,,,,,,,,,,
Cholera: Number of reported cases by country,,http://apps.who.int/gho/data/node.main.175?lang=en,http://apps.who.int/gho/athena/data/data-verbose.csv?target=GHO/CHOLERA_0000000001&profile=verbose&filter=COUNTRY:*;REGION:AFR;REGION:AMR;REGION:SEAR;REGION:EUR;REGION:EMR;REGION:WPR,no,WHO,EIDS,EIDS,Global,,,,,,,,,,,,
Climate Change and African Stability,,https://www.strausscenter.org/scad.html,,no,"The Robert Strauss Center for International Security and Law, University of Texas Austin","Climate and Weather
","Scenarios / GCM , Political Stability",Global,,,,,,,,,,,,
Climate Wizard - Climate Data and Analysis,,http://www.climatewizard.org/#,,no,The Nature Conservancy,"Climate and Weather
",Scenarios / GCM,Global / National,,,,,,,,,,,,
Closed Area - National Forest System Lands : Island Park Geothermal Area,,http://www.blm.gov/wo/st/en/prog/energy/geothermal/geothermal_nationwide/Documents/GIS_Data.html,http://www.blm.gov/pgdata/etc/medialib/blm/wo/MINERALS__REALTY__AND_RESOURCE_PROTECTION_/energy/geothermal_eis/gis_data.Par.60021.File.dat/NFS_Lands_Island_Park.zip,yes,Bureau of Land Management,"Technology and Industry , Changing Ecosystems
","Energy , Biodiversity",National,,,,,,,,zip,0.0274839401,,,
Closed Area - National Forest System Lands : National Historic and Scenic Trails with one mile buffer,,http://www.blm.gov/wo/st/en/prog/energy/geothermal/geothermal_nationwide/Documents/GIS_Data.html,http://www.blm.gov/pgdata/etc/medialib/blm/wo/MINERALS__REALTY__AND_RESOURCE_PROTECTION_/energy/geothermal_eis/gis_data.Par.43235.File.dat/NFS_Lands_Trails.zip,no,Bureau of Land Management,"Climate and Weather , Changing Ecosystems","Land Use / Land Cover , Biodiversity",National,,,,,,,,zip,,,,
Closed Area - National Forest System Lands : National Monuments,,http://www.blm.gov/wo/st/en/prog/energy/geothermal/geothermal_nationwide/Documents/GIS_Data.html,http://www.blm.gov/pgdata/etc/medialib/blm/wo/MINERALS__REALTY__AND_RESOURCE_PROTECTION_/energy/geothermal_eis/gis_data.Par.21685.File.dat/NFS_Lands_NMs.zip,no,Bureau of Land Management,"Climate and Weather , Changing Ecosystems","Land Use / Land Cover , Biodiversity",National,,,,,,,,zip,,,,
Closed Area - National Forest System Lands : National Recreation Areas,,http://www.blm.gov/wo/st/en/prog/energy/geothermal/geothermal_nationwide/Documents/GIS_Data.html,http://www.blm.gov/pgdata/etc/medialib/blm/wo/MINERALS__REALTY__AND_RESOURCE_PROTECTION_/energy/geothermal_eis/gis_data.Par.93860.File.dat/NFS_Lands_NRAs.zip,no,Bureau of Land Management,"Climate and Weather , Changing Ecosystems","Land Use / Land Cover , Biodiversity",National,,,,,,,,zip,,,,
Closed Area - National Forest System Lands : National Wildlife Refuges,,http://www.blm.gov/wo/st/en/prog/energy/geothermal/geothermal_nationwide/Documents/GIS_Data.html,http://www.blm.gov/pgdata/etc/medialib/blm/wo/MINERALS__REALTY__AND_RESOURCE_PROTECTION_/energy/geothermal_eis/gis_data.Par.77009.File.dat/NFS_Lands_NWRs.zip,yes,Bureau of Land Management,"Climate and Weather , Changing Ecosystems","Land Use / Land Cover , Biodiversity",National,,,,,,,,zip,0.017411232,,,
Closed Area - National Forest System Lands : Wild and Scenic Rivers with 0.5 mile buffer,,http://www.blm.gov/wo/st/en/prog/energy/geothermal/geothermal_nationwide/Documents/GIS_Data.html,http://www.blm.gov/pgdata/etc/medialib/blm/wo/MINERALS__REALTY__AND_RESOURCE_PROTECTION_/energy/geothermal_eis/gis_data.Par.52960.File.dat/NFS_Lands_WSRs.zip,no,Bureau of Land Management,"Climate and Weather , Changing Ecosystems","Land Use / Land Cover , Biodiversity",National,,,,,,,,zip,,,,
Closed Area - National Forest System Lands : Wildnerness Areas,,http://www.blm.gov/wo/st/en/prog/energy/geothermal/geothermal_nationwide/Documents/GIS_Data.html,http://www.blm.gov/pgdata/etc/medialib/blm/wo/MINERALS__REALTY__AND_RESOURCE_PROTECTION_/energy/geothermal_eis/gis_data.Par.40208.File.dat/NFS_Lands_WAs.zip,no,Bureau of Land Management,"Climate and Weather , Changing Ecosystems","Land Use / Land Cover , Biodiversity",National,,,,,,,,zip,,,,
Closed Areas - Public (BLM) Lands : Areas of Critical Environmental Concern (ACECs),,http://www.blm.gov/wo/st/en/prog/energy/geothermal/geothermal_nationwide/Documents/GIS_Data.html,http://www.blm.gov/pgdata/etc/medialib/blm/wo/MINERALS__REALTY__AND_RESOURCE_PROTECTION_/energy/geothermal_eis/gis_data.Par.71407.File.dat/Public_Lands_ACECs.zip,no,Bureau of Land Management,"Climate and Weather , Changing Ecosystems","Land Use / Land Cover , Biodiversity",National,,,,,,,,zip,,,,
Closed Areas - Public (BLM) Lands : Island Park Geothermal Area,,http://www.blm.gov/wo/st/en/prog/energy/geothermal/geothermal_nationwide/Documents/GIS_Data.html,http://www.blm.gov/pgdata/etc/medialib/blm/wo/MINERALS__REALTY__AND_RESOURCE_PROTECTION_/energy/geothermal_eis/gis_data.Par.54227.File.dat/Public_Lands_Island_Park.zip,yes,Bureau of Land Management,Technology and Industry,Energy,National,,,,,,,,zip,0.009759903,,,
Closed Areas - Public (BLM) Lands : National Conservation Areas,,http://www.blm.gov/wo/st/en/prog/energy/geothermal/geothermal_nationwide/Documents/GIS_Data.html,http://www.blm.gov/pgdata/etc/medialib/blm/wo/MINERALS__REALTY__AND_RESOURCE_PROTECTION_/energy/geothermal_eis/gis_data.Par.89466.File.dat/Public_Lands_NCAs.zip,no,Bureau of Land Management,"Climate and Weather , Changing Ecosystems","Land Use / Land Cover , Biodiversity",National,,,,,,,,zip,,,,
Closed Areas - Public (BLM) Lands : National Historic and Scenic Trails with one mile buffer,,http://www.blm.gov/wo/st/en/prog/energy/geothermal/geothermal_nationwide/Documents/GIS_Data.html,http://www.blm.gov/pgdata/etc/medialib/blm/wo/MINERALS__REALTY__AND_RESOURCE_PROTECTION_/energy/geothermal_eis/gis_data.Par.68143.File.dat/Public_Lands_Trails.zip,no,Bureau of Land Management,"Climate and Weather , Changing Ecosystems","Land Use / Land Cover , Biodiversity",National,,,,,,,,zip,,,,
Closed Areas - Public (BLM) Lands : National Monuments,,http://www.blm.gov/wo/st/en/prog/energy/geothermal/geothermal_nationwide/Documents/GIS_Data.html,http://www.blm.gov/pgdata/etc/medialib/blm/wo/MINERALS__REALTY__AND_RESOURCE_PROTECTION_/energy/geothermal_eis/gis_data.Par.94527.File.dat/Public_Lands_NMs.zip,no,Bureau of Land Management,Changing Ecosystems,Land Use / Land Cover,National,,,,,,,,zip,,,,
Closed Areas - Public (BLM) Lands : National Recreation Areas,,http://www.blm.gov/wo/st/en/prog/energy/geothermal/geothermal_nationwide/Documents/GIS_Data.html,http://www.blm.gov/pgdata/etc/medialib/blm/wo/MINERALS__REALTY__AND_RESOURCE_PROTECTION_/energy/geothermal_eis/gis_data.Par.45513.File.dat/Public_Lands_NRAs.zip,yes,Bureau of Land Management,"Climate and Weather , Changing Ecosystems","Land Use / Land Cover , Biodiversity",National,,,,,,,,zip,0.0185680389,,,
Closed Areas - Public (BLM) Lands : National Wildlife Refuges,,http://www.blm.gov/wo/st/en/prog/energy/geothermal/geothermal_nationwide/Documents/GIS_Data.html,http://www.blm.gov/pgdata/etc/medialib/blm/wo/MINERALS__REALTY__AND_RESOURCE_PROTECTION_/energy/geothermal_eis/gis_data.Par.50547.File.dat/Public_Lands_NWRs.zip,no,Bureau of Land Management,"Climate and Weather , Changing Ecosystems","Land Use / Land Cover , Biodiversity",National,,,,,,,,zip,,,,
Closed Areas - Public (BLM) Lands : Wild and Scenic Rivers with 0.5 mile buffer,,http://www.blm.gov/wo/st/en/prog/energy/geothermal/geothermal_nationwide/Documents/GIS_Data.html,http://www.blm.gov/pgdata/etc/medialib/blm/wo/MINERALS__REALTY__AND_RESOURCE_PROTECTION_/energy/geothermal_eis/gis_data.Par.52960.File.dat/Public_Lands_WSRs.zip,no,Bureau of Land Management,"Climate and Weather , Changing Ecosystems","Land Use / Land Cover , Biodiversity",National,,,,,,,,zip,,,,
Closed Areas - Public (BLM) Lands : Wilderness Areas,,http://www.blm.gov/wo/st/en/prog/energy/geothermal/geothermal_nationwide/Documents/GIS_Data.html,http://www.blm.gov/pgdata/etc/medialib/blm/wo/MINERALS__REALTY__AND_RESOURCE_PROTECTION_/energy/geothermal_eis/gis_data.Par.20143.File.dat/Public_Lands_WAs.zip,no,Bureau of Land Management,"Climate and Weather , Changing Ecosystems","Land Use / Land Cover , Biodiversity",National,,,,,,,,zip,,,,
Closed Areas - Public (BLM) Lands : Wilderness Study Areas,,http://www.blm.gov/wo/st/en/prog/energy/geothermal/geothermal_nationwide/Documents/GIS_Data.html,http://www.blm.gov/pgdata/etc/medialib/blm/wo/MINERALS__REALTY__AND_RESOURCE_PROTECTION_/energy/geothermal_eis/gis_data.Par.12465.File.dat/Public_Lands_WSAs.zip,no,Bureau of Land Management,"Climate and Weather , Changing Ecosystems","Land Use / Land Cover , Biodiversity",National,,,,,,,,zip,,,,
"Colonial / Dependency Contiguity , 1816 - 2002 ( v3.0 )",http://www.correlatesofwar.org/,http://www.correlatesofwar.org/COW2%20Data/ColonialContiguity/ColCont.htm,http://www.correlatesofwar.org/COW2%20Data/ColonialContiguity/Colonial%20Contiguity%20v3.0.zip,yes,Correlates of War ,War and Famine,Political Stability ,Global,020615f69fc31:7f4,Fri 31 Oct 2003 21:29:36 GMT,,,,,,zip,0.2133674622,,,
Commerical Fisheries Statistics,,http://www.st.nmfs.noaa.gov/commercial-fisheries/foreign-trade/,,no,National Marines Fisheries Service,International Travel and Commerce,Transportation / Trade,Global,,,,,,,,,,,,
Compensated Own-price Elasticity for Broad Consumption Groups ( marginal utility of income constant ),http://www.ers.usda.gov/data-products.aspx#.UzHq_dsgqk0,http://www.ers.usda.gov/data-products/international-food-consumption-patterns.aspx#.UzXGf9sgqk0,http://www.ers.usda.gov/datafiles/International_Food_Consumption_Patterns/2005_Data/Table2.xls,yes,US Department of Agriculture Economic Research Service,Economic Development and Land Use,Food Security,Global,8a14be166356ce1:0,Tue 21 May 2013 20:38:02 GMT,,,,,,xls,0.060546875,,,
Compensated Own-price Elasticity for Broad Consumption Groups ( real income held constant ),http://www.ers.usda.gov/data-products.aspx#.UzHq_dsgqk0,http://www.ers.usda.gov/data-products/international-food-consumption-patterns.aspx#.UzXGf9sgqk0,http://www.ers.usda.gov/datafiles/International_Food_Consumption_Patterns/2005_Data/table3.xls,yes,US Department of Agriculture Economic Research Service,Economic Development and Land Use,Food Security,Global,ee8b49a6356ce1:0,Tue 21 May 2013 20:41:43 GMT,,,,,,xls,0.05859375,,,
Conflict Site v. 3 1989 - 2008,http://www.prio.no/Data/Armed-Conflict/,http://www.prio.no/Data/Armed-Conflict/Conflict-Site/,"http://www.prio.no/Global/upload/CSCW/Data/ConflictSite%204-2010_v3%20Dataset.xls ,
http://www.prio.no/Global/upload/CSCW/Data/ConflictSite%204-2010_v3%20Codebook.pdf",yes,"Uppasala Conflict Data Program, Peace Research Institute - Oslo",War and Famine,Political Stability,Global,"1CDCBFD2FF33369,1CDCBFD2A657E22","Mon 26 Nov 2012 17:40:55 GMT,Mon 26 Nov 2012 17:40:46 GMT",,,,,,"xls,pdf",0.2547235489,,,
Conservation eye/ Land use change,,,www.ambiotek.com/conservation/conservation_eye.kmz,yes,King's college London. University of London,"Climate and Weather , Changing Ecosystems","Land Use / Land Cover , Biodiversity",Global,,Sat 01 Nov 2008 11:49:35 GMT,,2000,2005,5,no,kmz,0.0055580139,,,CONSERVATION_EYE is a land use change alert system based on the MODIS Vegetation Continuous Fields tree cover product. Change in tree cover percentage from 2000 and 2005 and Change in tree cover percentage from 2000-2005 in areas defined as protected according to the World Database of Protected Areas (WDPA ). The data are at 500m resolution
Consumer Price Indexes ( 2005 base ) Historical ,http://www.ers.usda.gov/data-products.aspx#.UzHq_dsgqk0,http://www.ers.usda.gov/data-products/international-macroeconomic-data-set.aspx#.UzXG_tsgqk0,http://www.ers.usda.gov/datafiles/International_Macroeconomic_Data/Historical_Data_Files/HistoricalCPIsValues.xls,yes,"International Macroeconomic Dataset, US Department of Agriculture Economic Research Service",Economy,"Food Security , Economy",Global,3aa5f0f7defcce1:0,Thu 19 Dec 2013 17:23:01 GMT,,,,,,xls,0.431640625,,,http://www.ers.usda.gov/data-products/international-macroeconomic-data-set.aspx#.UyM4NHWx1pk
Consumer Price Indexes ( 2005 base ) Projections,http://www.ers.usda.gov/data-products.aspx#.UzHq_dsgqk0,http://www.ers.usda.gov/data-products/international-macroeconomic-data-set.aspx#.UzXG_tsgqk0,http://www.ers.usda.gov/datafiles/International_Macroeconomic_Data/Baseline_Data_Files/ProjectedCPIsValues.xls,yes,"International Macroeconomic Dataset, US Department of Agriculture Economic Research Service",Economic Development and Land Use,"Food Security , Economy",Global,f58c2f54e1fcce1:0,Thu 19 Dec 2013 17:39:55 GMT,,,,,,xls,0.3647460938,,,http://www.ers.usda.gov/data-products/international-macroeconomic-data-set.aspx#.UyM4NHWx1pk
Continent of International Law,,http://sitemaker.umich.edu/koremenos/research,,no,Barbara Koremenos,Political Stability,Political Stability,Global,,,,,,,,,,,,
Coral Bleeching,http://www.reefbase.org/main.aspx,http://www.reefbase.org/gis_maps/datasets.aspx,,no,Reefbase - A Global Information System for Coral Reefs,Changing Ecosystems,Biodiversity,Global,,,,,,,,,,,,
Coral Diseases,http://www.reefbase.org/main.aspx,http://www.reefbase.org/gis_maps/datasets.aspx,,no,Reefbase - A Global Information System for Coral Reefs,Changing Ecosystems,Biodiversity,Global,,,,,,,,,,,,
Correlates of War Country Codes,http://www.correlatesofwar.org/,,http://www.correlatesofwar.org/COW%20State%20list.xls,yes,Correlates of War ,War and Famine,Political Stability,Global,b3bf4f68a83acd1:7f4,Fri 25 May 2012 18:58:44 GMT,,,,,,xls,0.0263671875,,,
"Correlates of war Wars  v. 4.0, 1816 - 2007",http://www.correlatesofwar.org/,http://www.correlatesofwar.org/COW2%20Data/WarData_NEW/WarList_NEW.html,"http://www.correlatesofwar.org/COW2%20Data/WarData_NEW/WarList_NEW.pdf ,
http://www.correlatesofwar.org/COW2%20Data/WarData_NEW/Non-StateWarData_v4.0.csv ,
http://www.correlatesofwar.org/COW2%20Data/WarData_NEW/Intra-StateWarData_v4.1.csv ,
http://www.correlatesofwar.org/COW2%20Data/WarData_NEW/Inter-StateWarData_v4.0.csv ,
http://www.correlatesofwar.org/COW2%20Data/WarData_NEW/Extra-StateWarData_v4.0.csv",yes,Correlates of War ,War and Famine,Political Stability,Global,"827f4b68e8bcca1:7f4,268ecbe1f5d8cb1:7f4,9f1dd0d024e8cb1:7f4,d6ef6f48f1d8cb1:7f4,6fc13ee2bb6cc1:7f4","Sat 06 Mar 2010 04:49:30 GMT,Wed 02 Mar 2011 16:21:27 GMT,Tue 22 Mar 2011 00:05:12 GMT,Wed 02 Mar 2011 15:48:32 GMT,Fri 09 Dec 2011 04:35:08 GMT",,,,,,"pdf,csv,csv,csv,csv,csv",0.3337268829,,,
Country Data,,http://www.naturalearthdata.com/downloads/10m-cultural-vectors/10m-admin-0-countries/,"http://www.naturalearthdata.com/http//www.naturalearthdata.com/download/10m/cultural/ne_10m_admin_0_countries.zip ,
http://www.naturalearthdata.com/http//www.naturalearthdata.com/download/10m/cultural/ne_10m_admin_0_countries_lakes.zip",no,Natural Earth ,"Political Stability , Human Demographics and Behavior",Political Stability,Global,,,,,,,,,,,,
County Level crop data (acreage and yield by year by crop),,http://www.nass.usda.gov/Statistics_by_Subject/index.php?sector=CROPS,,no,United States Department of Agriculture,War and Famine,Food Security,National,,,County,,,,no,,,,,
Coup Event Data,http://www.clinecenter.illinois.edu/,http://www.clinecenter.illinois.edu/research/speed-coupdata.html,"http://www.clinecenter.illinois.edu/research/documents/CoupData.xls ,
http://www.clinecenter.illinois.edu/research/documents/CoupInventory.xls ,
http://www.clinecenter.illinois.edu/research/documents/CoupEventDescriptions.pdf",yes,Cline Center for Democracy,War and Famine,Political Stability,Global,"473c64e1bb3ce1:0,f5077d1bb3ce1:0,1f145f7d1bb3ce1:0","Mon 16 Sep 2013 20:28:30 GMT,Mon 16 Sep 2013 20:29:48 GMT,Mon 16 Sep 2013 20:29:48 GMT",,,,,,"xls,xls,pdf",4.3788957596,,,
Critical Habitat Areas,http://www.fws.gov/gis/data/national/index.html,http://ecos.fws.gov/crithab/,"http://ecos.fws.gov/docs/crithab/crithab_all/crithab_all_layers.zip ,
http://ecos.fws.gov/docs/crithab/crithab_all/crithab_all_shapefiles.zip",yes,United States Fish and Wildlife Service,Changing Ecosystems,"Land Use / Land Cover , Biodiversity",National,"1c2cab-53f0055-4f69fcd556000,1c2c81-688e2f9-4f69fc51ba980","Wed 09 Apr 2014 17:55:12 GMT,Wed 09 Apr 2014 17:52:54 GMT",1km,,,,yes,"zip,zip",188.492994308,,,
Crop Calendar Dataset,http://www.sage.wisc.edu/mapsdatamodels.html,http://www.sage.wisc.edu/download/sacks/crop_calendar.html,"http://www.sage.wisc.edu/download/sacks/netCDF5min.html ,
http://www.sage.wisc.edu/download/sacks/ArcINFO5min.html ,
http://www.sage.wisc.edu/download/sacks/netCDF0.5degree.html ,
http://www.sage.wisc.edu/download/sacks/ArcINFO0.5degree.html",yes,"Sacks, W.J., D. Deryng, J.A. Foley, and N. Ramankutty, Center for Sustainability and Global Environment, University of Wisconsin - Madison","Changing Ecosystems , Economic Development and Land Use",Land Use / Land Cover,Global,"a2946b-4747-5137c57b,a29468-494c-5137c527,a2946a-481b-5137c568,a29467-4a1c-5137c514","Wed 06 Mar 2013 22:38:51 GMT,Wed 06 Mar 2013 22:37:27 GMT,Wed 06 Mar 2013 22:38:32 GMT,Wed 06 Mar 2013 22:37:08 GMT",,,,,,,0.0709934235,,,
Crop Data Layer,,http://nassgeodata.gmu.edu/CropScape/,,no,United States Department of Agriculture,War and Famine,Food Security,National,,,56-m,,,,no,,,,,
Crop Residues,,http://www.nrel.gov/gis/data_biomass.html,http://www.nrel.gov/gis/data/GIS_Data_Technology_Specific/United_States/Biomass/High_Resolution/CropResidues.zip,yes,National Renewable Energy Laboratory,Technology and Industry,Energy,National,390096-45bf103-4e1a61ab91300,Tue 16 Jul 2013 19:37:16 GMT,,,,,no,zip,69.7463407516,,,"crop residue, mill residue (primary and secondary), urban wood residue"
Crop Water Data,http://www.ifu.ethz.ch/ESD/downloads,http://www.ifu.ethz.ch/ESD/downloads/WATER_DATA,"http://www.ifu.ethz.ch/ESD/downloads/CROP_water_land.xls ,
http://www.ifu.ethz.ch/ESD/downloads/Crop_Water.pdf",yes,"Ecological Systems Design, ETH Zurich",Climate and Weather,Water Scarcity ,Global,,"Mon 12 Nov 2012 22:53:01 GMT,Tue 01 May 2012 18:03:07 GMT",,,,,,"xls,pdf",5.061712265,,,
Cropland Data Layer 2010,,http://www.nass.usda.gov/research/Cropland/SARS1a.htm,,no,United States Department of Agriculture,"Changing Ecosystems , War and Famine","Land Use / Land Cover , Food Security",National,,,30m,,,,yes,,,,,
Cropland Data Layer 2010 Mosaic,,http://www.nass.usda.gov/research/Cropland/SARS1a.htm,,no,United States Department of Agriculture,"Changing Ecosystems , War and Famine","Land Use / Land Cover , Food Security",National,,,30m,,,,yes,,,,,
CShapes ,http://nils.weidmann.ws/projects/cshapes/,"http://nils.weidmann.ws/projects/cshapes/shapefile ,
http://downloads.weidmann.ws/cshapes/KML/","http://downloads.weidmann.ws/cshapes/KML/cshapes_0.3-1_COW.kmz ,
http://downloads.weidmann.ws/cshapes/KML/cshapes_0.3-1_GW.kmz ,
http://downloads.weidmann.ws/cshapes/KML/cshapes_0.4-1_COW.kmz ,
http://downloads.weidmann.ws/cshapes/KML/cshapes_0.4-1_GW.kmz ,
http://downloads.weidmann.ws/cshapes/KML/cshapes_0.4-2_COW.kmz ,
http://downloads.weidmann.ws/cshapes/KML/cshapes_0.4-2_GW.kmz",yes,Nils Weidman,Political Stability,Political Stability,Global,"812b4e17-433cc1-4a6aeda7d2ec0,812b4e77-433c5f-4a6aeda8c7100,814aad8c-439010-4d2d6d131545f,80979da5-438fa9-4d2d6cfdbf68d,80ed9102-439010-4dc145ba03a29,80ecc56f-434c6c-4dc145b04a667","Mon 27 Jun 2011 10:17:07 GMT,Mon 27 Jun 2011 10:17:08 GMT,Wed 09 Jan 2013 08:26:21 GMT,Wed 09 Jan 2013 08:25:58 GMT,Mon 06 May 2013 22:38:21 GMT,Mon 06 May 2013 22:38:11 GMT",,,,,,"kmz,kmz,kmz,kmz,kmz,kmz",25.2786455154,,,
Dams,http://www.nationalatlas.gov/atlasftp.html,http://www.nationalatlas.gov/mld/dams00x.html,http://dds.cr.usgs.gov/pub/data/nationalatlas/dams00x020_nt00010.tar.gz,yes,National Atlas,"Climate and Weather , Changing Ecosystems","Water Scarcity , Biodiversity",National,18cfa7-cea72-4104d93709dc0,Fri 31 Mar 2006 17:14:39 GMT,,,,,,zip,0.8072376251,,,
Darwin Initiative projects,,,http://darwin.defra.gov.uk/kml/DarwinProjects.kmz,no,The Darwin Initiative,Changing Ecosystems,Biodiversity,Global,28614c-0-4cbdd7308a540,Fri 12 Oct 2012 14:24:45 GMT,,,,,no,kmz,,,,"This map has the location of projects associated with The Darwin Initiative. The Darwin Initiative assists countries that are rich in biodiversity but poor in financial resources to meet their objectives under one or more of the three major biodiversity Conventions: the Convention on Biological Diversity (CBD); the Convention on International Trade in Endangered Species of Wild Flora and Fauna (CITES); and the Convention on the Conservation of Migratory Species of Wild Animals (CMS), through the funding of collaborative projects which draw on UK biodiversity expertise."
Database of Political Institutions ,,"http://econ.worldbank.org/WBSITE/EXTERNAL/EXTDEC/EXTRESEARCH/0,,contentMDK:20649465~pagePK:64214825~piPK:64214943~theSitePK:469382,00.html","http://siteresources.worldbank.org/INTRES/Resources/469232-1107449512766/DPI2012.xls ,
http://siteresources.worldbank.org/INTRES/Resources/469232-1107449512766/DPI2012_Codebook2.pdf ,
http://siteresources.worldbank.org/INTRES/Resources/469232-1107449512766/DPI2012.dta",yes,Philip Keefer,Political Stability,Political Stability,Global,"77ae57-951800-4d354691c0440,77ae5a-212f9-4d395583fb2c0,77ae56-3e886b-4d346f6f0f2c0","Tue 15 Jan 2013 14:16:41 GMT,Fri 18 Jan 2013 19:44:51 GMT,Mon 14 Jan 2013 22:14:11 GMT",,,,,,"xls,pdf,txt",13.3562965393,,,
